Designator,Mid X,Mid Y,Rotation,Layer
D1,23.7,4.4,0.0,top
D2,42.0,4.4,0.0,top
D3,62.26,4.4,0.0,top
D4,80.96,4.4,0.0,top
J1,21.0875,65.08,270.0,top
J2,33.86,67.92021,0.0,top
J3,29.0,42.6,0.0,top
J4,29.2,30.1,0.0,top
J5,53.0,30.0,0.0,top
J6,53.1,40.9,0.0,top
J7,8.15,54.425,0.0,top
R1,13.8,20.9,0.0,top
R2,31.9,20.8,0.0,top
R3,52.0,20.6,0.0,top
R4,70.8,20.6,0.0,top
R98,25.16,51.58,0.0,top
R99,25.186,56.22,0.0,top
SW1,17.8,0.9,0.0,top
SW2,35.9,0.8,0.0,top
SW3,56.0,0.6,0.0,top
SW4,74.8,0.0,0.0,top
U0,19.475,51.61,90.0,top
U1,39.18,45.24,0.0,top
